# rule	width	height	path	sum	nonzero	hash
n	17	41	18.018434,34.444340 1.813408,40.424082 15.456062,20.260620 15.961517,29.983476 3.743390,16.343479 17.104987,40.497871;8.471281,10.988724 18.493800,18.366301 -1.055195,12.191289 17.990029,31.820339 9.251611,28.137156 16.168675,18.649800	50275	275	041847a0e8241840
e	64	16	65.179956,5.339050 51.748065,9.068708 57.807780,13.853196 38.171918,12.809936 24.627824,16.514146 18.423853,11.741227 -1.179956,10.660950 12.251935,6.931292 6.192220,2.146804 25.828082,3.190064 39.372176,-0.514146 45.576147,4.258773	134322	613	daa51edeed58a071
n	32	32	8.157847,11.880236 17.010551,11.880236 17.010551,13.938658 8.157847,13.938658;10.371023,12.394841 14.797375,12.394841 14.797375,13.424053 10.371023,13.424053	4734	30	d8d65b94d7e4cc6b
n	48	33	44.422461,12.259060 44.587229,12.259060 44.887229,20.740940 44.422461,20.740940	683	9	c04dbc201b46de0e
e	17	41	0.042494,38.573243 -1.906662,10.326604 0.295440,36.495179 3.398162,42.510944	1140	13	5373f472fbf41f77
n	64	16	-115.416178,-13.964642 -112.932653,43.122167 -76.771014,-19.958681 144.555803,-47.453464 -89.151032,-46.512019 210.918416,59.813911 127.272850,-42.277461	21633	98	5f63b88a90953324
n	32	32	10.508862,-0.534082 19.512383,7.364488 27.982811,32.577910 31.721472,6.255529 23.931272,25.233364	34395	206	8abb0cfff970b8aa
e	48	33	15.626824,15.482206 49.271707,11.406265 10.982060,-0.228871 39.065295,25.979777 32.188390,6.176958 32.190280,12.461170	58818	314	4b5f859693115ee5
n	17	41	8.928232,32.451484 3.211832,18.494979 12.695572,1.688626 8.757713,9.987181;11.062034,2.458158 0.952081,5.164160 17.824317,26.416446 3.161631,41.537736	61692	314	91256eabf88b900d
n	64	16	48.758480,1.157491 47.911805,5.107604 63.203574,6.124124 51.432275,8.767604 59.370037,12.189620 43.569583,11.977951 39.503504,15.800893 28.929586,12.858069 15.241520,14.842509 16.088195,10.892396 0.796426,9.875876 12.567725,7.232396 4.629963,3.810380 20.430417,4.022049 24.496496,0.199107 35.070414,3.141931	123383	594	fb8ef1eebed84328
e	32	32	11.741677,8.035533 19.517258,8.035533 19.517258,16.444165 11.741677,16.444165;13.685573,10.137691 17.573363,10.137691 17.573363,14.342007 13.685573,14.342007	12531	72	657c0803e582e5be
n	48	33	35.715486,15.021257 35.815852,15.021257 36.115852,17.978743 35.715486,17.978743	189	5	7829ddae819d9fe8
n	17	41	6.897746,31.416589 11.793813,28.713471 11.372609,9.186228 6.124090,32.648693 0.653652,10.898699 8.738123,6.935269	40143	214	ef02c0a962f7c4de
e	64	16	92.907071,33.459727 38.282559,-33.306729 186.575687,-15.152152 -128.483112,25.290507	184625	758	39374b0c13f796f2
n	32	32	-1.949184,18.371198 29.960513,14.289382 19.462432,21.142072 27.874183,27.173686	35770	192	16be99c440a0a8d9
n	48	33	2.236685,10.414167 23.513006,20.904098 30.638254,10.011832 39.247155,1.114915 11.224937,23.440023 19.851303,-1.181148	50051	277	9310f2256755a3b4
e	17	41	9.840731,8.285884 5.719045,10.242019 16.906295,27.782352 7.347728,41.593505;12.019880,14.398003 -1.860834,7.277888 14.431556,32.489407 14.973074,10.955927	42750	239	bed1a9a637b1a253
n	64	16	5.716632,13.502623 12.024903,9.266359 -1.595907,6.293538 15.585413,4.885272 16.389957,0.369454 31.506441,2.849639 46.130502,0.191327 47.799129,4.692332 65.230490,5.893290 52.194751,9.025767 59.307242,13.181649 41.383313,12.586778 32.821083,16.568120 23.506049,12.693852	136595	628	4167622824dcd484
n	32	32	3.949834,0.120455 7.405445,0.120455 7.405445,1.192284 3.949834,1.192284	951	10	b9d7398a0c9fb242
e	48	33	11.416364,10.799681 11.734627,10.799681 12.034627,22.200319 11.416364,22.200319	1369	15	a5a0c5d65db7101e
n	17	41	7.241989,2.482426 14.464434,21.493559 0.145946,36.172916 1.441027,23.443190	54258	264	549624e02d477673
n	64	16	-68.641186,63.813305 -145.726670,-24.382437 19.648260,-31.954107	0	0	c8a6259ce7a13383
e	32	32	26.364436,-0.818629 1.470006,10.053462 16.831867,10.548882 4.489784,30.929251 11.251638,3.704390 1.276643,7.473333 12.201519,4.802371 25.210716,21.089088 9.472568,20.622283 8.024012,10.131463	40548	262	87ff68d57fae6901
n	48	33	20.269267,2.088139 16.033561,12.096396 39.859638,30.672366	40435	206	a488081122495f2a
n	17	41	7.393367,6.521761 0.075908,5.408583 -1.442982,27.302830 14.452924,6.269174;18.477836,30.905715 7.295550,9.306678 10.861172,-0.989149 0.026347,20.503240	61880	286	68ff946eb3d09757
e	64	16	58.724127,4.074641 47.848392,7.969860 58.959904,11.823264 40.028604,11.416208 32.235778,15.748622 24.180212,11.446348 5.275873,11.925359 16.151608,8.030140 5.040096,4.176736 23.971396,4.583792 31.764222,0.251378 39.819788,4.553652	94092	446	98f77754945c7d43
n	32	32	3.287402,11.246637 11.810266,11.246637 11.810266,27.313480 3.287402,27.313480	34954	153	522fbf12278501d1
n	48	33	36.924260,0.607333 36.962829,0.607333 37.262829,32.392667 36.924260,32.392667	1533	61	b7d38b211f0930d2
e	17	41	-0.672375,20.646887 14.752644,22.542397 6.499474,7.104062 4.681544,40.802760	32260	172	932f24f3e6925cdf
n	64	16	240.172090,-29.404796 99.043642,-19.342440 -107.203783,59.567992 225.003783,20.925215 158.533874,-40.627220	148632	609	ef059e2d0e95aa27
n	32	32	2.434189,27.118679 17.261485,17.638893 5.868513,-0.179432 20.607008,20.281798 14.492789,15.002832 29.209700,18.413396 12.630012,19.888772 14.690969,28.760816	22635	160	686207e9cb8f2e86
e	48	33	34.127850,10.291038 33.972546,26.998493 39.019284,27.029858 42.304840,9.451114 -0.589814,-0.047757 7.263593,12.137443 38.233916,8.796347 17.400660,13.908416 9.240564,10.028010 24.065911,13.277284 12.979912,26.593956	99756	499	5535f8828736039d
n	17	41	10.064145,13.048705 -0.841949,26.870912 1.742676,22.337921 11.716350,20.424908 3.275388,1.114399 11.763756,16.645815 3.445792,39.953882;-1.437248,30.036826 15.787997,4.777497 1.107699,25.560287 13.514725,25.454200 16.072446,1.787723 6.716638,33.997638 2.436617,2.661659;2.465032,20.420654 1.417194,40.483852 15.224577,33.330178 3.139206,25.611568 3.338303,25.696816 2.290884,1.251813 9.033971,38.972875	63139	404	ae870602c9077bac
n	64	16	53.162310,-1.105493 46.914112,5.155294 72.718237,5.302447 50.591913,8.624957 68.421974,13.290577 43.378823,11.728528 42.790212,18.179559 29.500174,12.647978 10.837690,17.105493 17.085888,10.844706 -8.718237,10.697553 13.408087,7.375043 -4.421974,2.709423 20.621177,4.271472 21.209788,-2.179559 34.499826,3.352022	146370	675	e6cbcc350afadaf3
e	32	32	14.367232,9.250235 20.074744,9.250235 20.074744,11.511010 14.367232,11.511010;15.794110,9.815429 18.647866,9.815429 18.647866,10.945816 15.794110,10.945816	2746	21	30db855ba8ead9ab
n	48	33	26.420135,13.999128 26.612599,13.999128 26.912599,19.000872 26.420135,19.000872	438	6	2ba4dee0e16e7545
n	17	41	1.788183,8.834605 11.822223,16.743972 14.209372,3.814333 2.251641,2.552801	28603	139	b80c90130a1cdbc8
e	64	16	170.885169,9.564085 -186.408495,12.512337 164.292534,6.523762 234.477929,34.253082 -46.316506,-0.479767	101835	502	2e240accbc965772
n	32	32	20.987983,24.873609 10.576238,26.576778 4.681804,21.123196 8.719535,23.535135 28.020844,18.896950 21.192051,-1.284503 30.904979,24.021742	25785	164	4d5993a9af058ee0
n	48	33	41.830907,1.675243 48.585483,17.008326 7.097437,30.391808 32.903723,-1.570424	138576	608	e2b91eb5786e471b
e	17	41	-0.103017,16.074513 0.082598,1.020776 1.947866,18.885838;1.327878,10.706450 0.050926,39.673699 17.866959,25.473408;1.129509,-0.962500 13.525118,1.295418 16.898001,21.941269	96517	462	0e822446eb5f1e60
n	64	16	31.836585,17.860032 20.347497,12.997745 -2.237861,12.894636 8.861052,7.976032 -2.074446,3.034603 20.513555,2.978287 32.163415,-1.860032 43.652503,3.002255 66.237861,3.105364 55.138948,8.023968 66.074446,12.965397 43.486445,13.021713	169428	724	4c85e11a60c9c469
n	32	32	5.727124,14.259000 19.517580,14.259000 19.517580,19.523781 5.727124,19.523781;9.174738,15.575195 16.069966,15.575195 16.069966,18.207586 9.174738,18.207586	18537	90	f9b388fc58daa758
e	48	33	6.160113,25.577604 6.288577,25.577604 6.588577,7.422396 6.160113,7.422396	1286	19	96487d78279aa973
n	17	41	9.884515,1.235557 4.087420,25.302524 15.351485,26.331447 1.385514,7.451376 13.248741,24.284670 17.404441,19.041821 13.567269,20.616857	34750	183	d963c8594acbc893
n	64	16	231.369847,-13.425569 -26.189000,-33.947747 -185.757373,4.678171 144.173547,5.420226 -122.093401,12.663536 232.582149,39.116991	207181	899	9a2f7b6600df8b54
e	32	32	0.638584,17.410432 22.710256,7.663522 -0.512461,21.329625 12.869736,30.667235 0.633033,23.288559 4.166841,29.999112 30.629303,20.641750 20.715021,-1.425535	118778	551	52f98b1da2b0c3d5
n	48	33	31.521133,17.154250 2.490893,6.945432 38.258605,24.954357 29.044323,7.361697 42.971911,16.750271 45.515353,29.622090 33.795781,9.284434	37752	247	87c2564a0caaae27
n	17	41	13.230797,12.801144 3.844579,39.306520 16.825704,34.576567 10.675951,41.322060 0.588613,25.407217 2.493413,38.920696 15.008325,32.035397;10.381217,10.904121 -0.270666,5.229129 7.915583,8.448951 11.008640,29.697852 7.120275,18.490801 12.671230,38.806234 4.867084,24.964482;-1.182384,3.888391 12.880649,38.738896 11.560209,36.779822 15.229669,16.859400 16.507736,34.224860 12.426047,29.006305 17.281635,-1.748744	104909	537	a6c251020f7d169c
e	64	16	-9.436182,5.703025 19.561054,5.822355 9.197022,-0.949158 29.363645,4.261257 41.187902,-2.359045 40.710578,4.890263 67.796633,2.299256 46.954972,7.340911 73.436182,10.296975 44.438946,10.177645 54.802978,16.949158 34.636355,11.738743 22.812098,18.359045 23.289422,11.109737 -3.796633,13.700744 17.045028,8.659089	120057	607	fcd493d266e20128
n	32	32	11.976831,8.977725 13.232090,8.977725 13.232090,12.129856 11.976831,12.129856	1011	15	bfca356da109a986
n	48	33	4.242858,27.085156 4.636265,27.085156 4.936265,5.914844 4.242858,5.914844	2917	23	3357aa3cea0041ee
e	17	41	-1.666043,19.615678 1.990717,38.851600 3.030623,-1.372051 6.047535,-0.828248 8.640116,17.981120 3.126953,33.224005	38095	204	6f7da110fabde618
n	64	16	234.753164,-1.893037 -82.608724,63.948750 17.153713,9.874649 51.408248,15.455946	41741	199	ef87dbfa540c734e
n	32	32	32.205128,31.445369 26.709406,15.484558 8.457294,9.828782 23.244165,1.549920 2.403385,15.327201 1.631944,31.362787 10.479842,10.259654	47652	277	31259424e23edb91
e	48	33	30.275718,17.215743 14.113874,12.794982 6.692746,6.066375 46.335279,21.700849 24.092530,20.300732 7.392049,27.097941 24.427176,20.411416 34.499674,24.791667 6.876463,2.359167 -0.236159,4.248967	37589	261	858791bfa56437f4
n	17	41	0.839468,11.876740 18.808548,20.516060 4.795337,17.857765 0.096480,38.187354 4.129125,0.957995 16.736832,3.370446 1.568474,34.001138 5.587259,24.586443;14.180690,18.280267 6.716716,30.975736 4.232192,17.222948 0.819738,41.169011 9.061652,12.143101 18.665208,21.248909 0.412975,6.122409 2.159905,32.314313	62308	371	618ddf8b503f54e1
n	64	16	58.473455,5.544507 48.577955,8.155197 57.664744,10.943594 43.283420,11.040337 41.821974,14.618364 31.379211,12.144489 20.225625,14.416186 19.838652,10.820855 5.526545,10.455493 15.422045,7.844803 6.335256,5.056406 20.716580,4.959663 22.178026,1.381636 32.620789,3.855511 43.774375,1.583814 44.161348,5.179145	91552	440	3d1bf2be3fd6fbcb
e	32	32	11.295963,6.526393 21.031120,6.526393 21.031120,10.162445 11.295963,10.162445	9038	55	54c2f2f73723c6a5
n	48	33	31.797134,5.164357 31.912637,5.164357 32.212637,27.835643 31.797134,27.835643	1527	39	6de2cc4977c06f84
n	17	41	15.259823,33.858204 -1.955782,-0.049431 10.689761,32.178872 0.991575,16.559570 -1.802463,28.747501	35169	199	5829d7349ce6f988
e	64	16	-130.931525,18.365974 59.870448,-45.740623 219.855055,-2.428617	142095	591	453ff23fd0c770c4
n	32	32	22.072230,19.704182 8.549503,26.289345 7.778982,2.541500	41658	202	5edc41a944bc1089
n	48	33	-0.634003,28.290641 14.592421,32.018511 26.103615,30.804944 2.433741,9.229609 14.298207,12.716334 49.630479,34.014716 1.554890,1.587625 26.343532,6.151426 34.568975,23.302168	116006	607	f8de1f5258c1553b
e	17	41	8.864974,25.616400 14.930394,14.603463 6.692786,31.048052 9.204148,35.024795 15.600412,32.839580;9.845085,40.136155 -0.733438,5.349776 2.402722,9.789878 12.731555,38.075118 9.793880,41.532288	23386	169	5d0f3c037afe4d95
n	64	16	60.405550,3.442174 51.759223,7.395310 63.964377,10.710331 46.210735,11.485078 43.453376,15.937552 29.961274,12.950510 14.317749,15.187635 15.247015,10.688108 -1.502782,9.025282 13.148096,6.401505 7.904965,2.090871 25.245044,3.318602 35.456765,-0.393846 42.428612,3.760887	130090	605	2887b590bb654949
n	32	32	8.649768,13.568444 16.684334,13.568444 16.684334,17.489201 8.649768,17.489201;10.658410,14.548634 14.675692,14.548634 14.675692,16.509012 10.658410,16.509012	8048	45	378ed50237f3d61d
e	48	33	35.563552,29.818098 35.841761,29.818098 36.141761,3.181902 35.563552,3.181902	2891	39	8bbb92909381cad4
n	17	41	15.299287,16.651438 2.647086,6.789970 12.344880,4.959876 6.354025,10.506428 1.217917,26.640967	28360	156	b1122ad8efe09c83
n	64	16	-182.839898,-33.195490 186.535590,50.506233 -95.994201,44.747829 155.243873,60.307622 -157.228374,-0.953808	33963	155	bd4a34a7dccdb864
e	32	32	7.794406,22.489029 27.828330,17.432275 19.344523,12.052665 -0.569757,4.778476 8.491142,25.022085 3.618994,23.395780 17.756456,13.568424 3.706010,31.718102 16.154194,21.574935 6.668962,7.059946 24.471475,20.560680 27.102896,14.568997	50243	308	624ee9f051d32842
n	48	33	38.249746,10.099989 7.632999,22.567596 7.187300,15.286001 10.549855,0.049858 12.887209,14.676539	38674	208	6cc243fa3196ab0f
n	17	41	10.577818,12.788077 18.881757,33.361333 15.926948,40.511400 11.791907,41.643037 -0.719453,40.725370;3.585631,6.603872 15.059714,26.277570 1.296402,8.557623 10.357763,0.652920 3.502542,28.288149	95310	443	7f54e5c6b3314ef1
e	64	16	4.078558,14.723642 7.514477,8.852330 -2.206453,3.439002 21.191101,2.441606 38.780691,-1.542493 49.805256,3.712393 70.397151,6.663412 53.813152,10.908508 48.950053,16.716437 27.676014,14.085163	174653	757	6222afd39f3c638c
n	32	32	2.899698,1.656195 6.339240,1.656195 6.339240,3.367283 2.899698,3.367283;3.759584,2.083967 5.479354,2.083967 5.479354,2.939511 3.759584,2.939511	1508	15	facc4128c23e6ff1
n	48	33	18.952954,10.142909 19.068362,10.142909 19.368362,22.857091 18.952954,22.857091	867	26	e29c5a9d60a88c06
e	17	41	8.457173,34.738277 1.872997,23.305558 17.965012,39.913688 7.062147,28.724494 5.923740,6.683784	6244	83	a68936dfd88996b5
n	64	16	93.636384,18.780820 -64.062093,33.569097 240.768358,-35.565876 194.566703,46.801899	74111	322	24823fbee1637c7e
n	32	32	14.624273,30.118735 18.128167,5.992198 6.951736,2.978197 25.648547,29.397950 -0.772245,26.261762 10.092898,6.949058 32.755028,14.458825	107825	501	58ee2a7d16ba6068
e	48	33	23.022253,29.094990 13.469672,15.969415 24.672439,33.345803 48.431237,10.706155	20017	140	21ef71d5684fd322
n	17	41	13.984475,21.278761 -0.275875,10.720439 16.342376,31.909510;11.806416,17.121118 6.280716,29.714320 5.429977,27.926788	17654	119	fa1d36f65fcd8329
n	64	16	21.453736,0.575351 36.933693,3.822529 56.986069,3.198134 49.416640,7.882146 57.988503,12.456933 37.830383,12.104633 23.075710,15.556402 18.186735,10.654657 0.495982,8.213180 17.632550,5.536035	102995	489	268d91ce9ad6721a
e	32	32	10.335282,6.593358 21.397606,6.593358 21.397606,22.888148 10.335282,22.888148;13.100863,10.667055 18.632025,10.667055 18.632025,18.814450 13.100863,18.814450	34519	176	829d8d67ee062bb2
n	48	33	38.164912,22.386725 38.247305,22.386725 38.547305,10.613275 38.164912,10.613275	691	13	6f4a7c893149f1c2
n	17	41	17.763032,23.812656 17.243687,22.454806 15.363494,-0.760456 5.322737,38.973667	42034	209	e5e91436fd3a6e51
e	64	16	200.505345,50.413030 161.995850,44.173484 -23.542702,23.376916	0	0	c8a6259ce7a13383
n	32	32	14.163289,15.284120 21.116114,18.950706 6.885869,21.649709 28.905252,11.500550 10.484215,15.449106	11056	87	64907872a94a6d11
n	48	33	28.876880,0.362620 49.839909,11.915864 32.264164,15.026023 29.112260,6.372574 49.902122,12.225947 26.738871,32.986510 5.661290,22.409861 22.618435,-1.016387 46.351654,18.079364 29.984021,3.752633 -0.901497,13.549560	205187	905	0ac14ec5243815be
e	17	41	6.412288,10.196158 4.635663,36.417210 5.869991,33.468534 7.663990,25.410140 -0.972627,10.576170;12.470741,-0.720385 0.270733,4.694018 17.607054,5.017067 5.563925,4.999713 1.418070,24.979654;5.910955,35.408308 9.173733,28.241223 5.448358,7.372388 18.080912,41.845286 16.609245,36.966720	48991	308	89f030dc6ea0440a
n	64	16	68.468929,12.670721 40.542773,10.817771 40.131140,18.040286 28.514243,11.426604 5.670437,15.849311 19.110560,9.455134 -8.963568,7.747645 19.412888,6.387919 7.248829,-0.163993 29.193568,4.534634 42.099363,-1.927977 41.087549,5.290840 69.344871,3.784007 46.138420,8.087099	108610	550	7d55ceccff53b08f
n	32	32	2.277358,6.890661 4.811016,6.890661 4.811016,14.230291 2.277358,14.230291;2.910773,8.725569 4.177602,8.725569 4.177602,12.395384 2.910773,12.395384	5000	27	9c132f57a54f2b49
e	48	33	45.267324,30.965890 45.604851,30.965890 45.904851,2.034110 45.267324,2.034110	3578	29	d25386193dc63d5f
n	17	41	11.296144,39.800543 5.721878,36.317200 13.896412,39.464742 5.151730,5.530098 14.922910,35.445119 1.732109,4.169593 5.374195,0.391252	22495	163	9e5f63225d5803c6
n	64	16	73.303076,35.026085 -132.351073,-25.276233 19.215743,5.854921 36.194440,13.619807 147.736439,24.076987	91680	403	c2917af30aa21433
e	32	32	4.734230,1.539809 9.154187,33.632068 24.993376,9.485221 33.080402,32.694999 21.611933,-0.822112 7.115570,13.827808 21.416571,28.869666 4.052486,17.030109 0.234897,16.430371 22.076575,23.601231 26.481306,15.485421 1.731467,22.091114	86743	481	ab169d08da393796
n	48	33	30.099656,-0.423829 12.287247,33.633970 18.873138,26.636359 26.105127,26.879315	37990	194	a1cc01864a0728a1
n	17	41	8.332794,15.678514 10.826846,20.786510 6.437039,29.357320 18.099279,31.413778 15.872413,10.856274;10.617179,1.462110 1.621077,38.977882 12.886472,38.442878 16.273337,39.902896 18.225310,6.346199;4.551425,3.709163 1.776515,36.031412 9.349705,24.159822 12.342516,18.473421 15.943727,37.498632	116777	504	2130f6a520d3dfba
e	64	16	44.153023,18.174824 30.200918,12.371667 11.814738,17.343058 18.362914,10.773200 -8.699294,11.038256 14.513331,7.550229 -5.372232,2.953685 20.907201,4.590729 19.846977,-2.174824 33.799082,3.628333 52.185262,-1.343058 45.637086,5.226800 72.699294,4.961744 49.486669,8.449771 69.372232,13.046315 43.092799,11.409271	138024	634	64074739e4cd6301
n	32	32	1.581319,0.471706 9.952088,0.471706 9.952088,16.506481 1.581319,16.506481;3.674011,4.480400 7.859396,4.480400 7.859396,12.497787 3.674011,12.497787	34261	153	d8479d32d9ec927c
n	48	33	37.263253,28.382100 37.560787,28.382100 37.860787,4.617900 37.263253,4.617900	2699	25	d176ab445e861480
e	17	41	3.719314,27.883565 3.781766,42.239020 0.304788,35.280530 9.130629,42.548758 1.414481,23.039665 11.957247,-1.197913	21625	149	e462ac7e067a9a04
n	64	16	15.013101,51.162517 85.017148,-6.885455 -3.441474,-43.243819	229727	914	dc3ca30c05dbd98e
n	32	32	18.628436,18.128317 24.032798,23.315993 10.293903,13.658475 28.334912,13.534259 10.185683,6.270967 12.454465,9.284105 20.326050,21.437896 -0.427346,26.461377	26662	171	b7ae828dd9b00d69
e	48	33	20.415745,24.560769 10.558722,24.171578 49.475554,17.322506 44.144848,3.060142	53361	266	8c9b8131514a285c
n	17	41	15.605239,40.700648 0.867846,11.192187 4.588695,30.389704 5.489110,40.295080 11.555448,22.853191 0.010881,19.269805;8.325651,13.229094 3.144087,8.106870 -1.544124,38.105764 8.555705,30.123228 -1.388432,3.279105 5.478577,0.246784;-1.808168,-0.612762 5.506222,42.080880 13.347254,4.157422 1.433993,21.279805 18.930860,5.048723 1.883804,0.456857	86352	417	f517c4c9071f84fd
n	64	16	38.700860,17.606020 22.896663,12.644007 -2.472791,12.561647 11.520062,7.270630 3.993783,1.213233 28.446039,2.905218 49.163998,-0.756100 50.283470,5.580621 70.614151,9.375199 46.853767,11.599524	147523	657	04cb9f553e491f2a
e	32	32	11.977746,4.154542 13.603275,4.154542 13.603275,7.737680 11.977746,7.737680	1491	12	7c30d1e5edd8a52c
n	48	33	4.339745,7.812768 4.467899,7.812768 4.767899,25.187232 4.339745,25.187232	1239	19	53684e1e3c63b9c6
n	17	41	0.409470,16.451101 15.384162,2.920993 1.807975,14.267434 4.436285,14.891574 -0.886423,10.112598 10.360940,32.180126	7201	85	5f9cb731b314ceb2
e	64	16	-49.335645,63.504145 137.020409,-11.554763 158.137277,-17.963500 189.363479,28.844033	0	0	c8a6259ce7a13383
n	32	32	26.869771,31.208664 13.102050,2.890944 11.075691,7.487007 5.406111,3.160221 8.390613,10.486479 23.063542,14.271830 15.910667,13.269170 1.825003,8.999640 26.246021,11.580751	36446	216	d20367cc112c8c75
n	48	33	8.697889,-1.366412 16.968090,6.972154 24.539162,24.197881 32.464357,1.959185 41.897333,15.302320 41.413883,8.537261 41.841263,1.894626	77876	359	e0316de6a2ea0387
e	17	41	-0.332961,21.891114 11.995361,35.976825 11.719777,36.743524 4.027583,9.627131 13.943685,17.926182 -1.806136,32.660326;0.076786,25.806800 7.436515,9.846469 2.081447,1.573364 18.730363,39.007572 11.875194,7.831826 -1.584934,10.966977;-0.441582,33.320085 16.450312,10.073078 8.137399,25.834305 6.035739,11.653369 16.140920,6.784273 14.449244,33.783832	60597	379	6813d191b7c3672c
