# width	height	path	line width	join	cap	miter	closed	sum	nonzero	hash
56	33	41.994685,7.161510 41.315757,11.480203 33.414186,10.054885 21.599834,9.929256 2.148975,9.043789 7.283945,17.439356 51.546406,29.778830 14.318856,13.292354	2.483832	m	b	2.619304	1	95094	517	5369a5340db74d2d
24	48	4.375585,30.089920 10.482177,38.326368 13.521887,44.743193	5.578579	b	b	8.788866	0	24738	127	98c5482fc8fecd9b
40	40	24.357413,4.388749 15.713988,25.399564 25.298883,34.743625 14.136728,6.705962 12.969657,32.715025 29.021333,26.163523	5.012933	b	s	3.579271	1	123805	563	3f660ccfcc2d588a
56	33	49.947397,10.185421 27.742035,6.957649	6.668940	m	b	2.733458	0	38217	183	07922e20f572c586
24	48	2.987468,44.323167 9.293389,26.396973 16.424802,21.938952 5.991441,10.244897	3.310578	r	s	2.145664	0	38990	222	fe443ede3b935761
40	40	34.905664,18.493884 30.754879,20.418117 16.423589,16.455445	3.096373	r	b	3.054221	0	15402	87	df708072c8e70ab5
56	33	6.247761,7.055860 18.163209,22.153471	5.181976	r	b	2.473311	0	25478	134	519ef428a8ad57e7
24	48	2.202232,29.079017 20.188976,3.037290 12.478434,45.381675 18.298510,21.366703 10.495495,32.916724 13.685853,9.903139 18.157440,10.690110	3.481825	m	r	8.040283	1	99458	485	ccfc40c64b9196d9
40	40	32.166402,34.600952 6.613939,35.303349 28.721865,23.238604	5.884231	r	r	5.704567	0	76492	364	03f7a3aa2f30e5fd
56	33	27.784431,12.169428 36.827915,22.978809 16.420769,12.667819 41.692936,14.658066 40.533915,3.780889	4.906826	m	r	2.223970	0	74066	351	d6e433a931137a1b
24	48	5.633798,2.133486 5.847500,9.295217 11.802483,36.547390 12.799312,10.258553 9.074536,6.300464 4.144034,45.404476 21.066367,14.878262 13.249151,17.637647	4.282811	b	r	8.856279	0	119864	541	5e37ffb6fbf42fd3
40	40	14.708322,6.282445 5.410142,2.677681 18.087753,11.051842 16.765921,26.050540 15.556628,34.853122	3.136116	r	r	6.151338	1	47855	240	01714d3903a778f2
56	33	27.792375,24.033223 47.359021,18.692410 33.783528,17.102312 36.303199,12.401198 46.350586,20.691734 31.277820,17.916484 45.292453,10.737976 17.818322,4.776949	2.306138	m	s	9.326053	1	68458	383	0218b9488033de47
24	48	3.118903,39.215123 13.326246,27.708068 19.772489,15.144838 3.241965,29.135662 11.702472,44.391560 21.398702,4.772789 8.610061,16.502389 2.376192,41.888965	3.887601	m	s	6.734364	0	122417	592	90b1442fc8645e94
40	40	33.814942,29.738650 36.151346,28.854803 33.205707,21.122895 13.643140,7.009995 15.632528,23.379875	6.672844	b	s	5.882806	0	92056	437	4fa2d249d7c9c3cf
56	33	45.216836,19.569945 31.236506,7.484988 20.058906,23.963469 49.793560,22.438470	4.544704	b	s	8.162468	1	78770	388	dfdce445bd9e9a83
24	48	6.399999,22.986421 3.133680,3.413941 17.569853,12.877406	7.087733	m	b	2.987508	0	63559	293	599e445f1123e9a0
40	40	13.155016,12.244530 17.304961,33.987744 37.042573,9.473286 20.911371,21.285832 15.542329,22.012236 29.155456,29.452518	6.728109	r	b	10.629017	0	115727	522	a788ff6f10ea78f8
56	33	26.484093,23.939101 33.660132,27.433300 14.784583,23.758599 10.310214,19.069307	3.941339	b	r	6.161036	0	30683	159	66ab8796c0c4d672
24	48	7.663325,26.522107 11.693953,27.709142 21.722202,19.517774 3.124089,4.049170 10.653394,13.053610 10.478152,7.123240 5.870484,41.430879 4.416904,40.528758	4.905101	r	s	2.561766	0	95394	460	c7cf3a5cd76b4e99
