# width	height	path	line width	join	cap	miter	closed	dashes	phase	sum	nonzero	hash
40	40	11.127340,31.227214 21.684765,5.214419 4.748617,23.731486 28.757878,17.584072 20.723257,24.502432 7.144097,33.976370	3.880165	b	r	3.496790	0	1.328744,4.107725	3.644014	70762	384	ccad0369eedfd0a1
56	33	43.428933,3.076495 13.899266,25.871661 11.056720,5.868212 27.440599,24.921027 21.354999,4.333860 27.839990,23.081717 37.002688,16.400880 18.168707,30.570875	1.923234	r	r	9.790236	0	1.524143	11.281680	56919	355	7c63b7c04b385070
24	48	9.311069,27.695024 15.647618,40.123206 16.949059,12.502717 10.199592,45.973689 14.363669,43.306170 8.413207,19.482070	1.704786	b	s	9.313690	1	3.816355,1.509206	-2.761337	40673	220	8de4e3ca6e4cb9ec
40	40	20.986450,2.743710 15.380338,29.862742 4.642130,33.975431 2.124733,33.538657 24.983721,11.176312 4.100958,18.221195 24.175037,21.947830	3.318267	r	r	10.752625	1	3.151500,3.081441	3.446289	82633	427	0fa0d3b74ab16990
56	33	22.555795,2.590178 27.744918,14.747046 9.770293,15.985156 25.402851,17.348816 27.073241,2.070825 36.546854,6.832506 52.499326,7.231225 10.047250,16.364967	4.246311	b	s	9.642950	0	3.538426	-5.860580	96441	457	7e0595558c7fd4e4
24	48	13.019020,25.134951 19.139321,22.759955 7.484798,12.472089 11.521779,28.526828 2.261970,28.657162 19.791689,41.059270 12.782072,35.515242 5.805618,3.494859	5.130866	m	b	10.524396	0	4.416533	0.740967	64672	346	69c77b20ea2eff57
40	40	20.339404,33.504504 21.748565,27.441627 29.477625,30.865916 5.548849,6.495452 32.528925,26.174137 10.972025,36.921348	7.044766	b	b	10.028011	1	2.418873,1.586242	9.795031	97145	514	8a2a2240c19d3dda
40	40	37.720007,14.706783 11.610626,5.978028 12.777915,3.257486 9.127851,16.609868 10.855796,32.546692	4.827453	b	b	3.960053	1	1.263831,1.147290,1.467143	11.536202	55138	478	a047a6129c2aa31b
56	33	36.990147,17.022212 50.425611,3.283492 53.549160,22.804515 40.411055,5.659018 52.941904,19.691181 50.393528,22.682475 38.196771,27.848667 52.557712,17.535154	1.500584	b	b	10.802853	1	1.703127,3.449839	1.167530	15659	167	92853ffe2e47a21e
24	48	2.675097,4.868715 20.242460,43.201318 7.249145,19.371918 16.017351,9.878959 21.080433,33.199174 8.761860,6.819236 9.737984,35.865158 5.577784,16.651901	2.893403	r	b	5.075858	0	2.965631,1.687071	7.430978	71588	450	4e03eab1092e65a3
56	33	2.069270,12.910297 44.158443,22.222397 16.137470,7.358180 50.808724,17.331883 45.156147,18.147660	6.319304	m	s	2.815069	0	3.352336,4.187109	7.600088	150237	665	7d2ebff1d418388a
56	33	13.250431,2.679853 12.270107,9.695085 15.085728,18.826509 23.754447,22.036006 53.934807,10.297186 14.566880,26.447846 33.095597,4.752015	3.952271	r	b	9.731540	1	4.068306,2.175095	-3.060962	78338	477	1501349d2233a0fd
24	48	12.919493,9.140508 8.414854,23.238152 11.739898,20.333255 8.800243,40.993953 15.301394,8.657692 20.546247,17.266310 17.371277,26.057980 4.388768,40.456616	7.411365	m	r	7.408465	1	1.384146	-2.625338	153197	657	ea6da8d5ab2ff6e0
40	40	9.853336,33.470777 6.656966,4.918634 7.769418,10.260099 34.098616,22.260895 14.560663,4.144599 23.230191,21.551438	3.411900	m	s	10.550209	1	0.991875	-1.743581	108523	497	5280c89d5d966f76
24	48	3.703606,33.226704 8.547355,20.270883 13.428135,34.736671 14.130512,41.447342 9.502770,32.617510 15.901801,13.324045 10.175237,2.613159	5.760419	r	s	2.602482	0	1.868915,3.948226,3.347065	8.807308	101372	457	de2520d452bc8ae5
40	40	14.956104,35.353547 9.522043,23.257589 34.660141,33.404468 5.769562,16.443680 2.905194,32.760285 11.673611,3.895285	5.334307	r	r	3.225331	1	2.590411	6.666741	131213	593	c5c27a16eaaf17f0
56	33	24.507278,11.925270 6.985058,11.155861 48.102517,7.153243 53.340427,24.925832 37.688751,18.304854 7.963636,24.956165 25.431122,15.489353	4.716578	b	b	1.989253	1	4.553440,4.665205,1.499467	10.951558	80935	500	b3ba61e43ae3a444
24	48	2.369393,24.944881 4.889628,17.151529 7.297687,26.927800 10.096934,44.577809 3.858321,43.429514 6.902452,43.800156 15.272884,34.741746 5.906667,16.288478	6.250853	m	s	5.614195	0	4.269572,4.627191	-2.744758	90834	403	ada81277f7a635bf
40	40	5.368417,30.945775 27.283464,28.532908 26.137369,16.775315 6.703276,6.577334 13.406500,28.441133 25.815037,36.375203 22.681699,26.310413	6.628350	r	s	4.284319	0	4.206963,4.665484,2.352111	-1.729174	150760	672	f1e07ac8d19f0793
56	33	9.627209,8.211622 29.411115,14.059600 22.697738,28.761014 8.792996,29.357353 15.541453,23.700639 13.012282,15.313858 6.623622,19.733520 38.608815,30.356173	7.010725	b	r	5.353771	0	3.701084,1.510980	11.184789	164640	728	c2e6bcb9e6f9e42f
56	33	8.328888,27.909382 51.266153,27.816562 3.939992,3.915889 42.942295,15.445394 21.287723,27.626984	6.398672	b	b	5.816433	0	1.495571,1.803058,3.173460	12.322973	114395	757	f815c73fbfa5b9b4
24	48	6.281193,13.106028 3.488469,33.866259 18.796547,13.407548 12.364961,12.965286 10.955196,43.584575 12.946337,29.541457 9.840197,8.400425 7.999724,33.615929	2.832293	m	s	9.757687	0	4.419685	8.666780	75337	401	8f57b307b8b2d068
40	40	15.275447,6.299116 30.635181,18.254685 9.142844,35.537549 5.543162,8.443120 19.312242,29.349381 24.624643,11.177433	2.870298	r	r	4.068800	1	3.733360	0.138486	66381	406	ad30055c0f814ce0
56	33	12.854324,27.825971 21.239679,16.968210 8.760747,17.754288 30.000483,21.485750 43.470881,5.964906 7.885742,20.573910	5.391348	m	r	9.240983	0	1.048095,3.794899,2.016408	10.521415	120514	565	3119b005945db653
24	48	20.731538,3.665786 10.458535,43.505959 5.334884,20.340845 13.243179,13.500117 3.785720,21.297800 19.724710,27.918144 17.129867,8.538769	6.503896	r	r	10.612442	1	1.312743	4.804652	148171	642	98eebc7676dc2dca
40	40	37.310558,25.251771 11.719844,22.172401 18.257472,5.114254 7.590092,27.014967 17.291252,20.722054 5.950020,11.008213	3.063421	r	r	1.832730	0	4.614028	6.923417	44635	268	b075766525111daa
56	33	21.592487,23.283802 36.455829,16.884247 34.507679,7.425254 3.685908,22.303538 33.169645,15.737821	2.478077	r	s	8.058666	1	2.540956,1.164781,1.916439	-3.750625	58699	315	c7409b84854cce90
24	48	11.478394,2.224671 10.439368,32.598672 17.635349,9.061740 3.289511,4.517031 18.365522,38.249305 18.745365,14.638364	5.928725	r	s	8.157377	0	1.967555,2.455853	13.617960	146370	622	688912d73b8e877d
40	40	20.576272,9.526761 14.881428,18.399479 28.750671,35.790846 35.254020,9.690989 27.129680,14.426262 7.201251,23.594704 21.476331,24.457347	5.011520	r	r	4.441674	1	2.381969	1.027461	117974	552	721107d77901be8f
24	48	8.612468,36.627815 7.344340,28.031028 21.762349,39.827488 8.499642,11.196115 8.547241,40.309884 10.927970,18.880384 15.028167,17.871354 10.734385,27.345757	6.436031	b	r	7.709251	0	3.822120	-4.793226	105988	470	95e9d6f5ef4f982f
40	40	29.984669,18.093516 32.258896,18.203510 11.337505,23.425083 12.262489,2.796919 18.363054,26.783257 29.572746,4.105715 14.386102,34.979626 4.415614,2.705253	7.424253	b	s	2.739910	0	2.527414,0.992705,3.418585	11.501937	195285	828	34e5cb6d0409f5e4
56	33	49.389731,21.717147 6.132616,3.959160 51.530146,9.408845 31.236270,23.814925	6.157413	m	s	5.287823	0	1.750912,3.558846	7.022119	165005	739	d09b41ebdae6c5f8
24	48	3.897539,32.049252 5.897475,40.057691 6.963763,11.188940 17.203536,11.613428 8.864185,35.901830 13.881155,5.737987	6.967319	r	r	1.751649	1	0.804707,2.498479,4.586560	-3.488744	123145	541	3897e5047a9943e8
56	33	16.217975,2.083082 14.630242,4.946816 29.684363,29.631649 51.810315,8.870131 22.248359,6.755187 47.526457,18.532494 7.820381,26.160115	3.977984	b	s	5.741088	0	4.685745	7.595264	128152	679	a7dfbbaf4d805a5b
24	48	21.929674,34.071009 19.866857,20.296829 14.420785,4.919582 9.618882,30.599467 14.943824,42.019986	3.522788	m	r	10.031951	1	3.141955,2.024195	1.104369	70101	366	e0d88e4939a4ff72
40	40	14.020806,16.577895 35.194352,12.161213 19.821409,8.154323 33.013641,25.346176 28.879987,6.440450 4.975909,3.777442 36.628046,15.128100	4.826860	m	s	3.495720	0	4.096053,1.402882,1.058265	-5.803715	107572	481	32b08962ee465eed
40	40	2.364018,24.155560 34.740157,2.848692 20.861182,37.494098 31.337319,17.845484 17.291890,27.295502 23.034535,8.466205 31.083393,9.110090	3.481825	m	r	8.040283	1	4.151822,4.422328	-3.436700	100599	528	5b38c56504de4b72
56	33	40.598249,19.108876 39.996669,24.195170 36.802832,14.193243 9.403099,28.592034 27.784431,12.169428 36.827915,22.978809	3.163935	r	s	5.864850	0	3.071217,1.819493	-0.263867	64022	325	3a03d0eb72eb1a6d
24	48	4.448643,3.371716 5.633798,2.133486 5.847500,9.295217 11.802483,36.547390 12.799312,10.258553 9.074536,6.300464	2.143210	b	s	4.426878	0	2.655207	11.235245	33297	214	cf4a0215f5160936
40	40	28.482606,11.966152 22.456418,14.708322 6.282445,5.410142 2.677681,18.087753 11.051842,16.765921 26.050540,15.556628	6.975520	m	r	4.819490	1	1.272040	3.920144	102444	451	4cd5c490eb93d77d
40	40	36.917664,4.268646 13.898110,13.865591 2.677146,34.636426 16.325604,8.650772 17.057407,20.843709 16.796338,30.510554 33.814942,29.738650	7.191891	r	s	6.811915	0	2.314725	5.877708	176986	752	9ae291a453a87727
56	33	25.151420,22.280704 24.790589,4.369048 42.307255,26.101697 33.504729,18.304975 11.835151,12.071313 41.382771,28.654101 38.648292,16.716068 39.808554,2.272247	5.497481	b	b	3.700000	1	0.928540,3.913971,1.788855	12.625775	94121	529	3338ee3b37736eb0
40	40	15.542329,22.012236 29.155456,29.452518 33.368656,14.835549 29.387888,34.864460 33.917452,19.776120 18.950526,29.234746 23.918553,33.572372	2.975144	m	s	7.385968	1	1.751304,2.664414,2.079771	4.502759	52322	258	1c94ccb640a250ed
40	40	33.222936,13.754571 6.289459,34.633577 3.889194,19.621277 17.717482,36.394519 2.500276,18.295687 22.358669,5.308563 34.685147,5.346109	3.858975	b	s	4.505714	0	1.092545,4.015826,3.935650	2.646892	103056	519	107776f2c57ef913
56	33	29.049736,17.876667 44.417252,8.575055 49.161138,7.876532 10.556411,28.806098 7.134444,18.166671	3.723577	m	r	5.501169	1	0.950770	10.436699	80778	377	6e0d2c046f4d8aa1
24	48	21.133249,21.346781 7.120218,38.110492 8.217484,24.307095 4.282657,17.626957 18.752778,19.847436 8.970707,39.588685	5.939768	m	r	6.355846	1	1.496341,4.475595,1.864543	-4.029485	91659	417	84395b43ac2aef52
56	33	52.827113,30.050891 14.326271,19.385438 39.999636,15.648795 13.630886,12.207133 40.953294,16.721443	2.781765	r	s	9.702829	1	3.257374,4.244899	-0.562168	64640	395	03efb36341219965
24	48	14.088824,12.775584 5.440058,42.549769 20.889399,14.042840 15.828785,6.079828	3.883872	r	r	9.579590	1	1.830942	0.775355	68577	342	8688c7947b81cb4e
56	33	33.565093,30.547503 4.804554,21.887760 38.373894,2.194701 47.351406,21.313823	6.081271	m	s	11.132134	0	3.988895,2.462420,4.799668	6.901982	147674	688	dd871ced700ab2dd
24	48	6.315126,6.982062 2.189329,44.737438 14.951188,38.692292 10.520559,42.007280 3.952541,29.548769	7.096665	b	b	7.648529	1	4.426172,1.409086	-2.313015	92141	422	8c0512ff79b020b2
40	40	2.678910,37.532598 13.705646,12.042785 18.968531,9.706607 25.799611,9.832166 30.410242,9.058313 6.543213,6.547978 23.905629,7.806914	6.499264	m	r	6.537117	1	1.395167,3.978920	10.369369	124959	564	d4516e9fabc4d3dc
56	33	5.202901,11.080726 38.977841,28.375040 20.249945,23.835581 10.429041,19.463348 40.244765,17.607092	4.529045	m	r	5.894189	0	1.860595	-2.559845	92658	439	e0357715a86a8859
56	33	45.641893,24.709352 21.207803,22.092450 27.435305,24.862188 50.139468,26.063327 13.823190,17.691888 36.443096,5.825560 53.483366,9.027833	3.501114	r	s	6.151191	0	3.503286,0.996949,0.925129	-3.171020	95745	455	077763a7744257f6
24	48	10.921844,14.709626 9.292509,19.704005 15.126663,16.930617 6.377257,16.872572 14.884882,19.374902 2.347929,21.482214 13.243615,41.268621	1.979242	r	r	6.270973	0	2.927703	10.189363	19682	132	200f6d320dece61b
40	40	18.245511,19.491654 7.124656,11.317473 5.568605,20.917902 13.716202,22.358622 25.012208,26.966422 4.231553,37.875064 5.461423,9.241569 29.402295,11.701249	2.585756	m	b	7.061334	1	2.293647,2.848149,2.206848	5.950632	43183	340	a3d3c69dc79387ee
24	48	21.758310,32.398947 3.810545,6.211516 8.454943,28.365377 17.961024,38.573814	2.205591	r	r	8.732190	1	4.494722,2.271987	-5.666723	36944	236	9066f01ff8f2931b
40	40	28.394098,30.596269 13.918491,37.372866 29.501746,21.377381 19.172535,22.437966 34.399007,28.070319	3.228920	r	r	3.029953	1	2.569322	-3.967373	44992	234	cd9e464ed9eef733
24	48	11.016368,10.224440 14.179756,11.106945 11.818200,12.090702 13.411382,41.957728 7.815808,8.381093 13.464295,39.836909 13.429353,24.056372	5.453293	b	b	10.645882	1	3.748455	12.729569	59987	303	448cb78c191fa8aa
56	33	29.192195,5.569982 33.774306,20.563049 44.071586,25.696441 18.447491,14.427823 21.461560,17.229668 44.898799,28.898693 19.903348,20.858441 43.802844,26.218790	5.615514	m	s	10.584032	0	4.060373,2.168896	-5.493738	102454	459	3c28139fa16d74a3
40	40	30.034592,9.961705 5.608246,21.685176 30.231637,25.512313 12.140544,24.013197 9.935114,19.594483 33.426857,15.147167 37.770679,33.394738 6.660248,25.965954	1.533474	m	b	10.142441	1	2.699651,2.162694	-3.206351	37209	314	6a515846ec5fef3a
56	33	44.494754,23.303697 34.544102,18.399323 32.817472,26.411835 6.889998,29.090963 13.606170,9.055480 47.322383,29.409840	4.697994	m	s	4.783122	0	2.925174	-4.057547	125635	600	999cd7b5829e7746
40	40	25.323917,37.129986 22.241293,26.606974 34.520621,9.534216 32.255559,22.437253 26.458526,3.386285 15.667901,37.092135 5.348509,15.522911 33.516098,28.834567	3.924843	m	b	5.726665	0	2.087827	7.408784	78758	554	62f3ac7166139789
24	48	12.899387,22.406013 4.017021,4.306165 6.026022,38.774973 2.615408,28.024977 3.721158,21.755946 13.397776,31.889237 9.529662,37.909327	5.593972	b	r	2.244443	1	2.159511,2.685084,4.731358	9.482859	101657	458	d79e7bd99df9dcac
56	33	52.959459,10.958789 42.422134,24.869243 22.559446,29.087614 17.093229,29.586209 51.321671,6.698024 33.708765,12.343227 12.100584,20.624275	5.955276	r	b	5.979732	0	4.282347	12.069535	92114	555	bd4ebb3d141b32f9
40	40	30.648414,18.174378 14.633369,18.097542 18.951541,28.637159 6.487480,15.972469 25.889868,9.470896 12.849058,7.060972 14.598963,21.850718	2.500256	m	b	2.619473	0	4.779512,1.723592	1.131347	41174	281	c99dbd001c985811
56	33	31.541300,14.747982 14.280510,23.556687 34.208301,24.131958 4.600229,28.255291 21.915498,23.271554 43.516678,7.613320 22.053091,18.219365	5.717247	m	r	7.889142	0	4.744843,2.909679,3.775489	-4.427563	105957	480	ffcc119a2912c0bc
24	48	11.296849,41.469633 3.288479,14.009315 20.499652,24.476419 5.184445,25.005128	6.109212	b	s	10.722976	0	1.104420,1.632706	13.023778	94602	412	88dbe295f2a4fd9d
40	40	2.906056,36.934527 22.990467,33.212681 27.340378,12.827788 3.944317,12.044823 31.338064,13.342785 31.531912,36.821751 14.998977,2.443869	4.137360	r	s	5.254131	0	2.904693	11.355800	129691	606	eb9c356819ff9936
56	33	48.014450,15.717285 52.067521,11.970427 47.045486,23.243371 16.687418,9.671993 25.639737,22.172462	4.973652	r	b	8.230720	0	3.929809,3.664638	8.931620	40556	250	86d7d9a360216cc7
24	48	16.632715,19.652677 12.875092,2.528742 10.416182,14.167693 8.225342,24.055017 11.273182,28.656175 8.233803,3.655551 10.237096,17.260067	7.490691	m	s	2.324900	0	4.045553	2.609473	93675	411	c1a2785efb6dc276
24	48	3.212087,7.581043 20.206894,24.828154 7.206988,7.346144 8.474164,3.103086 13.870809,38.298946 2.379157,30.836542 4.585746,43.022384 3.635345,32.573006	5.813977	b	s	1.698805	0	4.187672,1.305601	9.126040	128378	565	9670e8d38abd3d27
40	40	14.093330,22.711809 30.765946,5.836127 30.461386,8.925012 15.661932,15.490286 24.815043,28.467339 5.022236,33.122375 37.567122,31.226289 11.294558,3.359612	1.775752	m	s	3.221428	1	3.856834,2.234310,1.925328	1.410520	59231	411	f644e79203b4dab8
56	33	45.419815,22.824177 11.311260,24.128617 44.202727,19.972500 30.181863,18.234743 47.677507,3.818867 40.447391,8.217140 27.886388,24.456359 50.184902,19.443902	2.877395	b	s	8.398264	0	2.655688	-5.158940	72232	356	b9a0a9679d187829
40	40	18.612182,31.525185 32.996433,29.198855 21.248501,15.774465 11.186793,13.364781 21.295860,23.087994 7.604591,18.155596 4.478226,34.398209 13.886471,18.793322	4.635404	m	r	9.638097	1	3.619861,4.515911	9.757992	112500	538	e536f62dc1369fa9
56	33	25.222219,25.797714 24.823145,13.948170 10.331283,30.154553 17.819271,14.343236 53.735123,12.959884 21.182173,19.938197 25.427134,5.013117 31.740493,17.452192	7.142753	b	r	4.429606	1	2.764649,2.752876,2.288277	1.867603	162148	716	88050abbe888a391
40	40	21.227514,15.764586 33.724123,15.991816 23.546477,37.187972 31.810732,18.239607 6.027289,5.430284 27.834211,9.128427 26.889605,16.237754 11.198669,26.801120	1.794530	b	b	8.181744	1	1.431834	11.344539	32759	289	8f5ff9278163e3e8
56	33	39.788307,9.485916 22.463009,26.240074 17.006975,4.512446 17.652724,15.632976 41.538849,9.811195 27.084506,27.692891 38.813639,14.199350	3.284207	r	b	6.131481	1	4.289658	11.326462	45346	278	977bcc1c932d3613
24	48	2.955756,21.109348 5.171608,44.584092 11.162160,16.649342 12.686091,39.183916 12.502831,14.019349	1.853088	b	r	4.595277	1	1.178839,2.777730	8.379313	29955	231	9fa21e48043856da
40	40	12.913695,23.164020 7.731523,21.977549 8.721777,30.123776 25.218747,4.365270 2.660217,37.645127 3.975840,2.870380 23.123429,9.807194	7.210772	r	b	8.131176	1	1.106613,4.429868	-4.790074	56259	413	c945dc998fe3571a
